A	V
struggle's	s t R V g V l z
struggled	s t R V g V l d
struggles	s t R V g V l z
struggling	s t R V g V l I N
strum	s t R V m
strum's	s t R V m z
strummed	s t R V m d
strumming	s t R V m I N
strumpet	s t R V m p V t
strumpet's	s t R V m p V t s
strumpets	s t R V m p V t s
strums	s t R V m z
strung	s t R V N
strut	s t R V t
strut's	s t R V t s
struts	s t R V t s
strutted	s t R V t I d
strutting	s t R V t I N
strychnine	s t R I k n aI n
strychnine's	s t R I k n aI n z
stub	s t V b
stub's	s t V b z
stubbed	s t V b d
stubbier	s t V b V f 3`
stubbiest	s t V b i: V s t
stubbing	s t V b I N
stubble	s t V b V l
stubble's	s t V b V l z
stubbly	s t V b l i:
stubborn	s t V b 3` n
stubborner	s t V b 3` n 3`
stubbornest	s t V b 3` n V s t
stubbornly	s t V b 3` n l i:
stubbornness	s t V b 3` n n V s
stubbornness's	s t V b 3` n n V s
stubby	s t V b i:
stubs	s t V b z
stucco	s t V k @U
stucco's	s t V k @U z
stuccoed	s t V k @U d
stuccoes	s t V k @U z
stuccoing	s t V k @U I N
stuck	s t V k
stud	s t V d
stud's	s t V d z
studbook	s t V d b U k
studbook's	s t V d b U k s
studbooks	s t V d b U k s
studded	s t V d I d
studding	s t V d I N
studding's	s t V d I N z
student	s t u: d V n t
student's	s t u: d V n t s
students	s t u: d V n t s
studentship	s t u: d I n tS I p
studentships	s t u: d I n tS I p s
studied	s t V d i: d
studiedly	s t V d i: d l i:
studies	s t V d i: z
studio	s t u: d i: @U
studio's	s t u: d i: @U z
studios	s t u: d i: @U z
studious	s t u: d i: V s
studiously	s t u: d i: V s l i:
studiousness	s t u: d i: V s n V s
studiousness's	s t u: d i: V s n V s
studlier	s t V d l i: 3`
studliest	s t V d l i: V s t
studly	s t V d l i:
studs	s t V d z
study	s t V d i:
study's	s t V d i: z
studying	s t V d i: I N
stuff	s t V f
stuff's	s t V f s
stuffed	s t V f t
stuffier	s t V f i: 3`
stuffiest	s t V f i: V s t
stuffily	s t V f V l i:
stuffiness	s t V f I n V s
stuffiness's	s t V f I n V s
stuffing	s t V f I N
stuffing's	s t V f I N z
stuffings	s t V f I N z
stuffs	s t V f s
stuffy	s t V f i:
stultification	s t V l t V f V k eI S V n
stultification's	s t V l t V f V k eI S V n z
stultified	s t V l t I f aI d
stultifies	s t V l t I f aI z
stultify	s t V l t V f aI
stultifying	s t V l t V f aI I N
stumble	s t V m b V l
stumble's	s t V m b V l z
stumbled	s t V m b V l d
stumbler	s t V m b l 3`
stumbler's	s t V m b l 3` z
stumblers	s t V m b l 3` z
stumbles	s t V m b V l z
stumbling	s t V m b V l I N
stump	s t V m p
stump's	s t V m p s
stumped	s t V m p t
stumpier	s t V m p i: 3`
stumpiest	s t V m p i: V s t
stumping	s t V m p I N
stumps	s t V m p s
stumpy	s t V m p i:
stun	s t V n
stung	s t V N
stunk	s t V N k
stunned	s t V n d
stunner	s t V n 3`
stunners	s t V n 3` z
stunning	s t V n I N
stunningly	s t V n I N l i:
stuns	s t V n z
stunt	s t V n t
stunt's	s t V n t s
stunted	s t V n t I d
stunting	s t V n t I N
stuntman	s t V n t m V n
stuntmen	s t V n t m E n
stunts	s t V n t s
stupefaction	s t u: p f { k S V n
stupefaction's	s t u: p f { k S V n z
stupefied	s t u: p E f i: d
stupefies	s t u: p V f i: z
stupefy	s t u: p V f i:
stupefying	s t u: p E f i: I N
stupendous	s t u: p E n d V s
stupendously	s t u: p E n d V s l i:
stupid	s t u: p V d
stupid's	s t u: p V d z
stupider	s t u: p aI d 3`
stupidest	s t u: p I d V s t
stupidities	s t u: p V d I t i: z
stupidity	s t u: p I d I t i:
stupidity's	s t u: p I d I t I s
stupidly	s t u: p V d l i:
stupids	s t u: p V d z
stupor	s t u: p 3`
stupor's	s t u: p 3` z
stupors	s t u: p 3` z
sturdier	s t 3` d i: 3`
sturdiest	s t 3` d i: V s t
sturdily	s t 3` d V l i:
sturdiness	s t 3` d i: n V s
sturdiness's	s t 3` d i: n V s
sturdy	s t 3` d i:
sturgeon	s t 3` dZ V n
sturgeon's	s t 3` dZ V n z
sturgeons	s t 3` dZ V n z
stutter	s t V t 3`
stutter's	s t V t 3` z
stuttered	s t V t 3` d
stutterer	s t V t 3` 3`
stutterer's	s t V t 3` 3` z
stutterers	s t V t 3` 3` z
stuttering	s t V t 3` I N
stutters	s t V t 3` z
sty	s t aI
sty's	s t I s
style	s t aI l
style's	s t aI l z
styled	s t aI l d
styles	s t aI l z
styli	s t aI l i:
styling	s t aI l I N
stylish	s t aI l I S
stylishly	s t aI l I S l i:
stylishness	s t aI l I S n V s
stylishness's	s t aI l I S n V s
stylist	s t aI l I s t
stylist's	s t aI l I s t s
stylistic	s t aI l I s t I k
stylistically	s t aI l I s t I k l i:
stylistics	s t aI l I s t I k s
stylists	s t aI l I s t s
stylize	s t aI l aI z
stylized	s t aI l aI z d
stylizes	s t aI l aI z I z
stylizing	s t aI l aI z I N
stylus	s t aI l V s
stylus's	s t aI l V s
styluses	s t aI l u: z I z
stymie	s t aI m i:
stymie's	s t aI m i: z
stymied	s t aI m i: d
stymieing	s t aI m i: i: I N
stymies	s t aI m i: z
styptic	s t I p t I k
styptic's	s t I p t I k s
styptics	s t I p t I k s
suasion	s w eI Z V n
suasion's	s w eI Z V n z
suave	s w Q v
suavely	s w eI v l i:
suaveness	s w eI v n V s
suaveness's	s w eI v n V s
suaver	s w eI v 3`
suavest	s w eI v V s t
suavity	s w eI v V t i:
suavity's	s w eI v V t i: z
sub	s V b
sub's	s V b z
subaltern	s u: b O: l t 3` n
subaltern's	s u: b O: l t 3` n z
subalterns	s u: b O: l t 3` n z
subaqua	s V b Q k w V
subarctic	s u: b Q R k t I k
subarea	s u: b E R i: V
subarea's	s u: b E R i: V s
subareas	s u: b E R i: V s
subatomic	s V b V t Q m I k
subbasement	s V b V s m V n t
subbasement's	s V b V s m V n t s
subbasements	s V b V s m V n t s
subbed	s V b d
subbing	s V b I N
subbranch	s V b R { n tS
subbranch's	s V b R { n tS
subbranches	s V b R { n tS I z
subcategories	s V b k V t E g O: R i: z
subcategory	s V b k V t V g O: R i:
subcategory's	s V b k V t V g O: R I s
subclass	s V b k l { s
subcommittee	s V b k V m I t i:
subcommittee's	s V b k V m I t i: z
subcommittees	s V b k V m I t i: z
subcompact	s V b k Q m p { k t
subcompact's	s V b k Q m p { k t s
subcompacts	s V b k Q m p { k t s
subconscious	s V b k Q n S V s
subconscious's	s V b k Q n S aU s
subconsciously	s V b k Q n S V s l i:
subconsciousness	s V b k Q n S V s n V s
subconsciousness's	s V b k Q n S V s n V s
subcontinent	s V b k Q n t I n V n t
subcontinent's	s V b k Q n t I n V n t s
subcontinental	s V b k Q n t V n E n t V l
subcontinents	s V b k Q n t I n V n t s
subcontract	s V b k Q n t R { k t
subcontract's	s V b k Q n t R { k t s
subcontracted	s V b k Q n t R { k t I d
subcontracting	s V b k V n t R { k t I N
subcontractor	s V b k Q n t R { k t 3`
subcontractor's	s V b k Q n t R { k t 3` z
subcontractors	s V b k Q n t R { k t 3` z
subcontracts	s V b k Q n t R { k t s
subculture	s V b k V l tS 3`
subculture's	s V b k V l tS 3` z
subcultures	s V b k V l tS 3` z
subcutaneous	s V b k u: t eI n i: V s
subcutaneously	s V b k u: t eI n i: V s l i:
subdivide	s V b d V v aI d
subdivided	s V b d I v aI d I d
subdivides	s V b d V v aI d z
subdividing	s V b d I v aI d I N
subdivision	s V b d I v I Z V n
subdivision's	s V b d I v I Z V n z
subdivisions	s V b d I v I Z V n z
subdominant	s V b d Q m V n V n t
subdue	s V b d u:
subdued	s V b d u: d
subdues	s V b d u: z
subduing	s V b d u: I N
subeditor	s u: b V d I t 3`
subeditors	s u: b V d I t 3` z
subfamilies	s V b f { m V l i: z
subfamily	s V b f { m V l i:
subfamily's	s V b f { m I l V s
subfreezing	s V b f R i: z I N
subgroup	s V b g R u: p
subgroup's	s V b g R u: p s
subgroups	s V b g R u: p s
subhead	s V b h E d
subhead's	s V b h E d z
subheading	s V b h E d I N
subheading's	s V b h E d I N z
subheadings	s V b h E d I N z
subheads	s V b h E d z
subhuman	s V b h j u: m V n
subhuman's	s V b h j u: m V n z
subhumans	s V b h j u: m V n z
subj	s V b dZ
subject	s V b dZ E k t
subject's	s V b dZ E k t s
subjected	s V b dZ E k t I d
subjecting	s V b dZ E k t I N
subjection	s V b dZ E k S V n
subjection's	s V b dZ E k S V n z
subjective	s V b dZ E k t I v
subjectively	s V b dZ E k t I v l i:
subjectivity	s V b dZ E k t I v I t i:
subjectivity's	s V b dZ E k t I v aI t i: z
subjects	s V b dZ E k t s
subjoin	s V b dZ OI n
subjoined	s V b dZ OI n d
subjoining	s V b dZ OI n I N
subjoins	s V b dZ OI n z
subjugate	s V b dZ V g eI t
subjugated	s V b dZ V g eI t I d
subjugates	s V b dZ V g eI t s
subjugating	s V b dZ V g eI t I N
subjugation	s V b dZ V g eI S V n
subjugation's	s V b dZ V g eI S V n z
subjunctive	s V b dZ V N k t I v
subjunctive's	s V b dZ V N k t I v z
subjunctives	s V b dZ V N k t I v z
sublease	s V b l i: s
sublease's	s V b l i: s I z
subleased	s V b l i: s t
subleases	s V b l i: s I z
subleasing	s V b l i: s I N
sublet	s V b l E t
sublet's	s V b l E t s
sublets	s V b l E t s
subletting	s V b l E t I N
sublieutenant	s V b l u: t E n V n t
sublieutenants	s V b l u: t E n V n t s
sublimate	s V b l aI m eI t
sublimated	s V b l aI m eI t I d
sublimates	s V b l aI m eI t s
sublimating	s V b l aI m eI t I N
sublimation	s V b l aI m eI S V n
sublimation's	s V b l aI m eI S V n z
sublime	s V b l aI m
sublimed	s V b l aI m d
sublimely	s V b l aI m l i:
sublimer	s V b l aI m 3`
sublimes	s V b l aI m z
sublimest	s V b l aI m V s t
subliminal	s V b l I m I n V l
subliminally	s V b l I m I n V l i:
subliming	s V b l aI m I N
sublimity	s V b l I m V t i:
sublimity's	s V b l I m i: t i: z
sublingual	s V b V l I N w V l
submarginal	s V b m Q R dZ V n V l
submarine	s V b m 3` i: n
submarine's	s V b m 3` i: n z
submariner	s V b m 3` V n 3`
submariner's	s V b m 3` V n 3` z
submariners	s V b m 3` V n 3` z
submarines	s V b m 3` i: n z
submerge	s V b m 3` dZ
submerged	s V b m 3` dZ d
submergence	s V b m 3` dZ V n s
submergence's	s V b m 3` dZ V n s V z
submerges	s V b m 3` dZ I z
submerging	s V b m 3` dZ I N
submerse	s V b m 3` s
submersed	s V b m 3` s t
submerses	s V b m 3` s I z
submersible	s V b m 3` s I b V l
submersible's	s V b m 3` s V b V l z
submersibles	s V b m 3` s V b V l z
submersing	s V b m 3` s I N
submersion	s V b m 3` Z V n
submersion's	s V b m 3` Z V n z
submicroscopic	s V b m I k R V s k Q p I k
submission	s V b m I S V n
submission's	s V b m I S V n z
submissions	s V b m I S V n z
submissive	s V b m I s I v
submissively	s V b m I s I v l i:
submissiveness	s V b m I s I v n V s
submissiveness's	s V b m I s I v n V s
submit	s V b m I t
submits	s V b m I t s
submitted	s V b m I t V d
submitter	s V b m I t 3`
submitting	s V b m I t I N
subnormal	s V b n 3` m V l
suborbital	s u: b O: R b V t V l
suborder	s V b O: R d 3`
suborder's	s V b O: R d 3` z
suborders	s V b O: R d 3` z
subordinate	s V b O: R d V n eI t
subordinate's	s V b O: R d V n eI t s
subordinated	s V b O: R d V n eI t I d
subordinates	s V b O: R d V n eI t s
subordinating	s V b O: R d V n eI t I N
subordination	s V b O: R d V n eI S V n
subordination's	s V b O: R d V n eI S V n z
suborn	s u: b O: R n
subornation	s u: b O: R n eI S V n
subornation's	s u: b O: R n eI S V n z
suborned	s u: b 3` n d
suborning	s u: b O: R n I N
suborns	s u: b O: R n z
subparagraph	s V p 3` V g R { f
subplot	s V b p l Q t
subplot's	s V b p l Q t s
subplots	s V b p l Q t s
subpoena	s V p i: n V
subpoena's	s V p i: n V z
subpoenaed	s V p i: n V d
subpoenaing	s V p i: n V I N
subpoenas	s V p i: n V z
subprime	s V b p R aI m
subprofessional	s V b p R @U f E S V n V l
subprofessional's	s V b p R @U f E S V n V l z
subprofessionals	s V b p R @U f E S V n V l z
subprogram	s V p R @U g R { m
subprograms	s V p R @U g R { m z
subroutine	s u: b R aU t i: n
subroutine's	s u: b R aU t i: n z
subroutines	s u: b R aU t i: n z
subs	s V b z
subscribe	s V b s k R aI b
subscribed	s V b s k R aI b d
subscriber	s V b s k R aI b 3`
subscriber's	s V b s k R aI b 3` z
subscribers	s V b s k R aI b 3` z
subscribes	s V b s k R aI b z
subscribing	s V b s k R aI b I N
subscript	s V b s k R I p t
subscript's	s V b s k R I p t s
subscription	s V b s k R I p S V n
subscription's	s V b s k R I p S V n z
subscriptions	s V b s k R I p S V n z
subscripts	s V b s k R I p t s
subsection	s V b s E k S V n
subsection's	s V b s E k S V n z
subsections	s V b s E k S V n z
subsequent	s V b s V k w V n t
subsequently	s V b s V k w V n t l i:
subservience	s V b s 3` v i: V n s
subservience's	s V b s 3` v i: V n s I z
subservient	s V b s 3` v i: V n t
subserviently	s V b s 3` v i: V n t l i:
subset	s V b s E t
subset's	s V b s E t s
subsets	s V b s E t s
subside	s V b s aI d
subsided	s V b s aI d I d
subsidence	s V b s aI d V n s
subsidence's	s V b s I d V n s I z
subsides	s V b s aI d z
subsidiaries	s V b s I d i: E R i: z
subsidiarity	s V b s I d i: E R V t i:
subsidiary	s V b s I d i: E R i:
subsidiary's	s V b s I d i: E R i: z
subsidies	s V b s V d i: z
subsiding	s V b s aI d I N
subsidization	s V b s I d I z eI S V n
subsidization's	s V b s I d V z eI S V n z
subsidize	s V b s I d aI z
subsidized	s V b s I d aI z d
subsidizer	s V b s I d aI z 3`
subsidizer's	s V b s I d aI z 3` z
subsidizers	s V b s I d aI z 3` z
subsidizes	s V b s I d aI z I z
subsidizing	s V b s I d aI z I N
subsidy	s V b s I d i:
subsidy's	s V b s i: d I s
subsist	s V b s I s t
subsisted	s V b s I s t V d
subsistence	s V b s I s t V n s
subsistence's	s V b s I s t V n s I z
subsisting	s V b s I s t I N
subsists	s V b s I s t s
subsoil	s V b s OI l
subsoil's	s V b s OI l z
subsonic	s V b s Q n I k
subspace	s V b s p eI s
subspecies	s V b s p i: S i: z
subspecies's	s V b s p i: S i: s
substance	s V b s t V n s
substance's	s V b s t V n s V z
substances	s V b s t V n s V z
substandard	s V b s t { n d 3` d
substantial	s V b s t { n tS V l
substantially	s V b s t { n S V l i:
substantiate	s V b s t { n tS i: eI t
substantiated	s V b s t { n S i: eI t I d
substantiates	s V b s t { n tS i: eI t s
substantiating	s V b s t { n S i: eI t I N
substantiation	s V b s t { n tS i: eI S V n
substantiation's	s V b s t { n S i: eI S V n z
substantiations	s V b s t { n S i: eI S V n z
substantive	s V b s t V n t I v
substantive's	s V b s t V n t I v z
substantively	s V b s t V n t I v l i:
substantives	s V b s t V n t I v z
substation	s V b s t eI S V n
substation's	s V b s t eI S V n z
substations	s V b s t eI S V n z
substituent	s V b s t I tS u: V n t
substitute	s V b s t V t u: t
substitute's	s V b s t V t u: t s
substituted	s V b s t V t u: t V d
substitutes	s V b s t V t u: t s
substituting	s V b s t I t u: t I N
substitution	s V b s t I t u: S V n
substitution's	s V b s t I t j u: S V n z
substitutions	s V b s t I t j u: S V n z
substrata	s V b s t R Q t V
substrate	s V b s t R eI t
substrate's	s V b s t R eI t s
substrates	s V b s t R eI t s
substratum	s V b s t R { t V m
substratum's	s V b s t R { t V m z
substructure	s V b s t R V k tS 3`
substructure's	s V b s t R V k tS 3` z
substructures	s V b s t R V k tS 3` z
subsume	s V b s u: m
subsumed	s V b s u: m d
subsumes	s V b s u: m z
subsuming	s V b s u: m I N
subsumption	s V b s V m p S V n
subsurface	s V b s 3` f V s
subsurface's	s V b s 3` f V s V z
subsystem	s V b s I s t V m
subsystem's	s V b s I s t V m z
subsystems	s V b s I s t V m z
subteen	s V t i: n
subteen's	s V t i: n z
subteens	s V t i: n z
subtenancy	s V t E n V n s i:
subtenancy's	s V t E n V n s i: z
subtenant	s V t E n V n t
subtenant's	s V t E n V n t s
subtenants	s V t E n V n t s
subtend	s V b t E n d
subtended	s V b t E n d I d
subtending	s V b t E n d I N
subtends	s V b t E n d z
subterfuge	s V b t 3` f j u: dZ
subterfuge's	s V b t 3` f j u: dZ s
subterfuges	s V b t 3` f j u: dZ s
subterranean	s V b t 3` eI n i: V n
subtext	s V b t E k s t
subtext's	s V b t E k s t s
subtexts	s V b t E k s t s
subtitle	s V b t aI t V l
subtitle's	s V b t aI t V l z
subtitled	s V b t aI t V l d
subtitles	s V b t aI t V l z
subtitling	s V b t aI t l I N
subtle	s V t V l
subtler	s V t V l 3`
subtlest	s V t l E s t
subtleties	s V t V l t i: z
subtlety	s V t V l t i:
subtlety's	s V t V l t I s
subtly	s V t V l i:
subtopic	s V b t Q p I k
subtopic's	s V b t Q p I k s
subtopics	s V b t Q p I k s
subtotal	s V t @U t V l
subtotal's	s V t @U t V l z
subtotaled	s V t @U t V l d
subtotaling	s V t @U t V l I N
subtotals	s V t @U t V l z
subtract	s V b t R { k t
subtracted	s V b t R { k t I d
subtracting	s V b t R { k t I N
subtraction	s V b t R { k S V n
subtraction's	s V b t R { k S V n z
subtractions	s V b t R { k S V n z
subtracts	s V b t R { k t s
subtrahend	s V b t R V h E n d
subtrahend's	s V b t R V h E n d z
subtrahends	s V b t R V h E n d z
subtropic	s V t R Q p I k
subtropical	s V t R Q p I k V l
subtropics	s V t R Q p I k s
subtropics's	s V t R Q p I k s
suburb	s V b 3` b
suburb's	s V b 3` b z
suburban	s V b 3` b V n
suburban's	s V b 3` b V n z
suburbanite	s V b 3` b V n aI t
suburbanite's	s V b 3` b V n aI t s
suburbanites	s V b 3` b V n aI t s
suburbans	s V b 3` b V n z
suburbia	s V b 3` b i: V
suburbia's	s V b 3` b aI V z
suburbs	s V b 3` b z
subvention	s V b v E n S V n
subvention's	s V b v E n S V n z
subventions	s V b v E n S V n z
subversion	s V b v 3` Z V n
subversion's	s V b v 3` Z V n z
subversive	s V b v 3` s I v
subversive's	s V b v 3` s I v z
subversively	s V b v 3` s I v l i:
subversiveness	s V b v 3` s I v n V s
subversiveness's	s V b v 3` s I v n V s
subversives	s V b v 3` s I v z
subvert	s V b v 3` t
subverted	s V b v 3` t I d
subverting	s V b v 3` t I N
subverts	s V b v 3` t s
subway	s V b w eI
subway's	s V b w eI z
subways	s V b w eI z
subzero	s V b z I R @U
succeed	s V k s i: d
succeeded	s V k s i: d V d
succeeding	s V k s i: d I N
succeeds	s V k s i: d z
success	s V k s E s
success's	s V k s E s
successes	s V k s E s V z
successful	s V k s E s f V l
successfully	s V k s E s f V l i:
succession	s V k s E S V n
succession's	s V k s E s E S V n z
successions	s V k s E s E S V n z
successive	s V k s E s I v
successively	s V k s E s I v l i:
successor	s V k s E s 3`
successor's	s V k s E s 3` z
successors	s V k s E s 3` z
succinct	s V k s I N k t
succincter	s V k s I N k t 3`
succinctest	s V k s I N k t V s t
succinctly	s V k s I N k t l i:
succinctness	s V k s I N k t n V s
succinctness's	s V k s I N k t n V s
succor	s V k 3`
succor's	s V k 3` z
succored	s V k O: R d
succoring	s V k O: R I N
succors	s V k 3` z
succotash	s V k V t { S
succotash's	s V k V t Q S V z
succubi	s V k j u: b i:
succubus	s V k j u: b V s
succulence	s V k j V l V n s
succulence's	s V k j V l V n s I z
succulency	s V k j V l E n s i:
succulency's	s V k j V l E n s i: z
succulent	s V k j V l I n t
succulent's	s V k j V l V n t s
succulents	s V k j V l V n t s
succumb	s V k V m
succumbed	s V k V m d
succumbing	s V k V m I N
succumbs	s V k V m z
such	s V tS
suchlike	s V k l aI k
suck	s V k
suck's	s V k s
sucked	s V k t
sucker	s V k 3`
sucker's	s V k 3` z
suckered	s V k 3` d
suckering	s V k 3` I N
suckers	s V k 3` z
sucking	s V k I N
suckle	s V k V l
suckled	s V k V l d
suckles	s V k V l z
suckling	s V k l I N
suckling's	s V k l I N z
sucklings	s V k l I N z
sucks	s V k s
sucrose	s u: k R @U s
sucrose's	s u: k R @U z i: z
suction	s V k S V n
suction's	s V k S V n z
suctioned	s V k S V n d
suctioning	s V k S V n I N
suctions	s V k S V n z
sudden	s V d V n
suddenly	s V d V n l i:
suddenness	s V d V n n V s
suddenness's	s V d V n n V s
suds	s V d z
suds's	s V d V s
sudsier	s V d s i: 3`
sudsiest	s V d s i: V s t
sudsy	s V d s i:
sue	s u:
sued	s u: d
suede	s w eI d
suede's	s w eI d z
sues	s u: z
suet	s u: V t
suet's	s u: V t s
suety	s u: V t i:
suffer	s V f 3`
sufferance	s V f R { n s
sufferance's	s V f R { n s I z
suffered	s V f 3` d
sufferer	s V f 3` 3`
sufferer's	s V f 3` 3` z
sufferers	s V f 3` 3` z
suffering	s V f 3` I N
suffering's	s V f 3` I N z
sufferings	s V f 3` I N z
suffers	s V f 3` z
suffice	s V f aI s
sufficed	s V f aI s t
suffices	s V f aI s I z
sufficiency	s V f I S V n s i:
sufficiency's	s V f I S V n s i: z
sufficient	s V f I S V n t
sufficiently	s V f I S V n t l i:
sufficing	s V f aI s I N
suffix	s V f I k s
suffix's	s V f I k s
suffixation	s V f I k s eI S V n
suffixation's	s V f I k s eI S V n z
suffixed	s V f I k s t
suffixes	s V f I k s I z
suffixing	s V f I k s I N
suffocate	s V f V k eI t
suffocated	s V f V k eI t I d
suffocates	s V f V k eI t s
suffocating	s V f V k eI t I N
suffocation	s V f V k eI S V n
suffocation's	s V f V k eI S V n z
suffragan	s V f R { g V n
suffragan's	s V f R { g V n z
suffragans	s V f R { g V n z
suffrage	s V f R I dZ
suffrage's	s V f R I dZ I z
suffragette	s V f R V dZ E t
suffragette's	s V f R V dZ E t s
suffragettes	s V f R V dZ E t s
